"","datestop","crimsusp","frisked","searched","sex","race","age","city"
"109",1022016,"CPW","Y","Y","M","B","16","BROOKLYN"
"110",1022016,"GRAFFITI","N","Y","M","W","22","BRONX"
"111",1022016,"GRAFFITI","N","Y","M","W","25","BRONX"
"112",1022016,"CPW","Y","N","M","Q","19","BRONX"
"113",1022016,"FEL","Y","Y","M","Q","24","BROOKLYN"
"114",1022016,"FEL","Y","Y","M","Q","19","BROOKLYN"
"115",1022016,"FEL","Y","N","F","B","32","MANHATTAN"
"116",1032016,"CPW","Y","N","M","W","55","BRONX"
"117",1032016,"MISD","Y","Y","M","Q","39","BROOKLYN"
"118",1032016,"MISD","N","N","M","W","40","QUEENS"
"119",1032016,"MISD","N","N","M","Z","45","QUEENS"
"120",1032016,"CPM, CPW, CRIMINAL TRESPASS","Y","N","M","W","23","BRONX"
"121",1032016,"CPM, CPW, CRIM TRESPASS","Y","Y","M","W","28","BRONX"
"122",1032016,"FEL","Y","N","M","A","18","MANHATTAN"
"123",1032016,"MISD","N","N","M","Q","22","MANHATTAN"
"124",1032016,"FELONY","Y","Y","M","A","25","MANHATTAN"
"125",1032016,"ASSAULT","N","N","M","Q","26","BRONX"
"126",1032016,"FELONY","Y","Y","M","Q","22","QUEENS"
"127",1032016,"FELONY","Y","Y","M","W","22","QUEENS"
"128",1032016,"FELONY","Y","Y","M","W","19","QUEENS"
"129",1032016,"FELONY","Y","Y","M","W","22","QUEENS"
"130",1032016,"FEL","Y","N","M","B","14","BROOKLYN"
"131",1032016,"FELONY","Y","Y","M","B","34","BRONX"
"132",1032016,"CPW","Y","N","M","B","25","BRONX"
"133",1032016,"GLA","Y","N","M","B","46","BRONX"
"134",1032016,"ROBBERY","Y","N","M","Q","19","BRONX"
"135",1032016,"ROBBERY","Y","N","M","Q","18","BRONX"
"136",1032016,"MISD","Y","Y","M","B","53","BRONX"
"137",1042016,"MISD","Y","Y","M","Q","32","BRONX"
"138",1042016,"FEL","Y","Y","M","B","21","MANHATTAN"
"139",1042016,"FEL","Y","N","M","B","54","MANHATTAN"
"140",1042016,"FEL","Y","N","M","B","51","MANHATTAN"
"141",1042016,"MISD","Y","Y","M","B","20","MANHATTAN"
"142",1042016,"ROBBERY","N","N","M","B","29","BROOKLYN"
"143",1042016,"MISDEMENAOR","Y","Y","M","B","36","QUEENS"
"144",1042016,"ASSAULT","N","N","M","B","18","STATEN IS"
"145",1042016,"FELONY","Y","N","F","Q","32","QUEENS"
"146",1042016,"FELONY","Y","Y","M","B","29","QUEENS"
"147",1042016,"FELONY","Y","Y","M","A","25","QUEENS"
"148",1042016,"FEL","Y","N","M","Q","16","BRONX"
"149",1042016,"FEL","Y","N","M","W","34","BROOKLYN"
"150",1042016,"FELONY","Y","N","M","B","26","QUEENS"
"151",1042016,"FEL","Y","N","M","Q","26","BRONX"
"152",1042016,"MISD","Y","N","M","B","51","MANHATTAN"
"153",1042016,"ROBBERY","Y","N","M","B","19","BROOKLYN"
"154",1042016,"AGG HARASSMENT","N","Y","M","B","32","MANHATTAN"
"155",1042016,"CPW","Y","Y","M","W","45","BRONX"
"156",1042016,"CP","Y","Y","M","W","38","BRONX"
"157",1042016,"CPW","Y","N","M","B","25","MANHATTAN"
"158",1042016,"FELONY","Y","Y","M","B","30","BRONX"
"159",1042016,"FELONY","Y","Y","M","A","24","QUEENS"
"160",1052016,"FELONY","Y","N","M","B","37","QUEENS"
"161",1052016,"FEL","N","N","M","B","42","BROOKLYN"
"162",1052016,"GLA","Y","N","M","B","44","BROOKLYN"
"163",1052016,"CPCS/CPW","Y","N","M","B","25","BRONX"
"164",1052016,"GLA","Y","Y","M","Q","23","BRONX"
"165",1052016,"CPW","Y","N","M","B","41","BRONX"
"166",1052016,"GLA","Y","Y","M","B","44","BROOKLYN"
"167",1052016,"CPW","Y","Y","M","B","18","MANHATTAN"
"168",1052016,"CPW","Y","Y","M","B","20","MANHATTAN"
"169",1052016,"CPW","Y","N","M","P","27","MANHATTAN"
"170",1052016,"ROBBERY","N","N","M","B","18","BROOKLYN"
"171",1052016,"ROBBERY","N","N","M","B","22","BROOKLYN"
"172",1052016,"MISD","Y","Y","F","P","24","BRONX"
"173",1052016,"FELONY","N","N","M","P","68","QUEENS"
"174",1052016,"FELONY","N","N","M","W","37","QUEENS"
"175",1052016,"MISD","N","N","M","B","35","BROOKLYN"
"176",1052016,"MISD","N","N","M","B","43","BROOKLYN"
"177",1052016,"FEL","Y","N","M","Q","21","QUEENS"
"178",1052016,"CPW","Y","N","M","B","27","MANHATTAN"
"179",1052016,"MISD","N","N","M","W","57","MANHATTAN"
"180",1052016,"MISD","N","N","M","W","28","MANHATTAN"
"181",1052016,"MISD","N","N","M","W","61","MANHATTAN"
"182",1052016,"FELONY","N","N","M","W","41","QUEENS"
"183",1052016,"FEL","Y","N","M","B","19","BROOKLYN"
"184",1052016,"FEL","Y","N","M","B","18","BROOKLYN"
"185",1052016,"FEL","Y","N","M","U","25","BROOKLYN"
"186",1052016,"FEL","Y","Y","M","Q","18","QUEENS"
"187",1052016,"GRAFITTI","Y","N","M","A","22","BRONX"
"188",1052016,"GRAFITTI","N","Y","M","A","19","BRONX"
"189",1052016,"FELONY","N","N","M","Q","46","QUEENS"
"190",1052016,"MISD","Y","Y","M","Q","17","BROOKLYN"
"191",1052016,"MISD","Y","Y","M","Q","15","BROOKLYN"
"192",1052016,"FEL","Y","N","M","B","26","BRONX"
"193",1052016,"CRIMINAL TRESPASS/BURGLARY","Y","N","M","W","36","BROOKLYN"
"194",1052016,"ROBBERY","N","N","M","B","18","BROOKLYN"
"195",1052016,"FELONY","N","N","M","W","26","QUEENS"
"196",1052016,"GLA","N","N","M","B","29","BROOKLYN"
"197",1052016,"FELONY","Y","N","M","Q","16","QUEENS"
"198",1052016,"FELONY","Y","N","M","Q","25","QUEENS"
"199",1062016,"CPW","Y","N","M","B","42","BROOKLYN"
"200",1062016,"CPW","Y","N","M","A","24","MANHATTAN"
"201",1062016,"CPW","Y","N","M","B","26","MANHATTAN"
"202",1062016,"CPW","Y","N","M","B","22","BROOKLYN"
"203",1062016,"FELONY","Y","N","M","B","44","BRONX"
"204",1062016,"FELONY","N","N","M","B","31","MANHATTAN"
"205",1062016,"FEL","Y","N","M","Q","33","MANHATTAN"
"206",1062016,"ROBBERY W/FIREARM","Y","Y","F","Z","28","BRONX"
"207",1062016,"ROBBERY W/FIREARM","Y","Y","M","B","32","BRONX"
"208",1062016,"MISD","Y","Y","M","A","22","QUEENS"
"209",1062016,"MISD","Y","N","M","Q","36","BROOKLYN"
"210",1062016,"FEL","Y","N","M","Q","18","BROOKLYN"
"211",1062016,"FELONY","N","N","M","Z","31","QUEENS"
"212",1062016,"MISD","Y","Y","F","B","39","MANHATTAN"
"213",1062016,"MISD","Y","N","M","B","55","MANHATTAN"
"214",1062016,"FELONY","Y","N","M","B","34","BROOKLYN"
"215",1062016,"MISD","N","Y","M","P","36","BROOKLYN"
"216",1062016,"MISD","Y","Y","M","B","40","BROOKLYN"
"217",1062016,"MISD","Y","N","M","Q","48","BROOKLYN"
"218",1062016,"CPW","N","N","M","B","19","BRONX"
"219",1062016,"CPW","N","N","M","P","23","BRONX"
"220",1062016,"FELONY","N","N","M","Q","25","MANHATTAN"
"221",1062016,"MISD","Y","N","M","B","18","BROOKLYN"
"222",1062016,"CPW (GUN)","Y","N","M","B","18","BRONX"
"223",1062016,"CPW","Y","N","M","Q","23","QUEENS"
"224",1062016,"ROBBERY","N","N","M","B","30","BRONX"
"225",1062016,"FELONY","Y","Y","M","Q","40","QUEENS"
"226",1062016,"CPW","Y","N","M","Q","26","QUEENS"
"227",1062016,"CIMINAL SALE CONTROLLED SUB.","N","N","M","Q","36","BRONX"
"228",1062016,"FELONY","Y","Y","M","P","25","BROOKLYN"
"229",1062016,"FELONY","Y","N","M","B","28","QUEENS"
"230",1062016,"CPW","N","N","M","Q","26","BRONX"
"231",1062016,"MISD","Y","Y","M","Q","47","MANHATTAN"
"232",1062016,"FEL","N","N","F","A","18","QUEENS"
"233",1062016,"FEL","N","N","F","B","18","QUEENS"
"234",1062016,"CPCS","N","N","M","P","24","BRONX"
"235",1062016,"FEL","N","N","M","Q","18","QUEENS"
"236",1062016,"FEL","N","N","M","Q","17","QUEENS"
"237",1062016,"FEL","N","N","M","W","17","QUEENS"
"238",1062016,"FEL","N","N","M","W","18","QUEENS"
"239",1062016,"MISD","Y","N","M","Q","16","BRONX"
"240",1062016,"MISD","Y","N","M","Q","16","BRONX"
"241",1062016,"MISD","Y","N","Z","Z","17","BRONX"
"242",1062016,"MISD","Y","N","Z","Z","16","BRONX"
"243",1062016,"ROB","Y","N","M","B","23","BRONX"
"244",1062016,"GRAND LARCENY (FEL)","N","N","M","B","45","BROOKLYN"
"245",1062016,"FEL","Y","N","M","B","21","BROOKLYN"
"246",1062016,"MISD","Y","N","M","B","16","BRONX"
"247",1062016,"CPW","Y","N","M","B","55","MANHATTAN"
"248",1062016,"MISD","Y","N","M","B","14","MANHATTAN"
"249",1062016,"MISD","Y","Y","M","Q","36","BRONX"
"250",1062016,"CPW","Y","N","M","B","19","BRONX"
"251",1062016,"CRIMINAL TRESPASS","Y","N","M","B","30","BROOKLYN"
"252",1062016,"FELONY","Y","Y","M","A","45","MANHATTAN"
"253",1062016,"CRIMINAL TRESPASS","N","N","F","B","18","BRONX"
"254",1062016,"CRIMINAL TRESPASS","N","N","M","B","20","BRONX"
"255",1072016,"FELONY","Y","N","M","W","43","BROOKLYN"
"256",1072016,"FEL","N","N","M","B","19","BROOKLYN"
"257",1072016,"LARCENY FROM AUTO","N","N","M","B","17","STATEN IS"
"258",1072016,"LARCENY FROM AUTO","N","N","M","B","16","STATEN IS"
"259",1072016,"FEL","Y","N","M","P","21","MANHATTAN"
"260",1072016,"CPW","Y","N","M","P","35","BRONX"
"261",1072016,"FEL","Y","N","M","P","18","MANHATTAN"
"262",1072016,"CPW","Y","N","M","Q","28","BRONX"
"263",1072016,"FEL","Y","N","M","Z","28","MANHATTAN"
"264",1072016,"FEL","Y","N","M","Q","18","QUEENS"
"265",1072016,"ROBBERY","Y","N","M","B","21","MANHATTAN"
"266",1072016,"F","Y","N","M","B","19","MANHATTAN"
"267",1072016,"ROBBERY","Y","N","M","Q","19","MANHATTAN"
"268",1072016,"ROBBERY","Y","N","M","Q","18","MANHATTAN"
"269",1072016,"FELONY","Y","N","M","B","19","BROOKLYN"
"270",1072016,"FEL","Y","N","M","B","18","BROOKLYN"
"271",1072016,"FEL","N","N","M","B","18","BROOKLYN"
"272",1072016,"MISDEMEANOR","Y","N","M","B","24","QUEENS"
"273",1072016,"MISDEMEANOR","Y","N","M","B","22","QUEENS"
"274",1072016,"FEL","N","N","M","B","64","MANHATTAN"
"275",1072016,"FEL","N","N","M","Z","26","BRONX"
"276",1072016,"BURGLARY","N","N","M","B","31","STATEN IS"
"277",1072016,"C/ MISCHIEF","N","N","M","B","30","MANHATTAN"
"278",1072016,"MISDEMEANOR","N","N","M","B","41","STATEN IS"
"279",1072016,"FEL","Y","Y","M","B","36","QUEENS"
"280",1072016,"MISD","Y","Y","M","B","53","MANHATTAN"
"281",1072016,"FEL","Y","N","M","A","30","QUEENS"
"282",1072016,"FEL","Y","N","M","A","33","QUEENS"
"283",1072016,"FEL","Y","N","M","B","43","QUEENS"
"284",1072016,"FEL","Y","N","M","Q","44","QUEENS"
"285",1072016,"FELONY","Y","N","M","A","18","QUEENS"
"286",1072016,"MISD","N","N","M","B","42","MANHATTAN"
"287",1072016,"SELLING SWIPES 165.16","N","N","M","Q","29","BRONX"
"288",1072016,"MISD","Y","Y","M","Q","38","MANHATTAN"
"289",1072016,"MISD","Y","N","M","B","19","MANHATTAN"
"290",1072016,"CPCS","N","N","M","B","22","BRONX"
"291",1072016,"CPW","Y","N","M","B","19","BRONX"
"292",1072016,"CPW","Y","N","M","B","19","BRONX"
"293",1072016,"FEL","Y","Y","M","B","43","BRONX"
"294",1072016,"MISD","Y","Y","F","Q","57","MANHATTAN"
"295",1072016,"CPW","Y","N","M","B","30","BRONX"
"296",1072016,"CPW","Y","N","M","B","21","BRONX"
"297",1072016,"FEL","Y","Y","M","B","35","BRONX"
"298",1072016,"FELONY","Y","Y","M","W","39","QUEENS"
"299",1072016,"ROBBERY","Y","N","M","B","16","MANHATTAN"
"300",1072016,"ROBBERY","Y","N","M","B","19","MANHATTAN"
"301",1072016,"FEL","Y","N","M","B","27","MANHATTAN"
"302",1072016,"GRAND LARCENY","N","N","F","B","21","BROOKLYN"
"303",1072016,"CRIM POSS OF MARI","Y","N","M","B","48","MANHATTAN"
"304",1072016,"MISD","Y","Y","M","B","23","BRONX"
"305",1072016,"MISD","Y","Y","M","B","23","BRONX"
"306",1072016,"ASSAULT","Y","N","M","Q","20","BROOKLYN"
"307",1072016,"PETIT LARCENY","N","N","M","B","23","MANHATTAN"
"308",1072016,"CRIMINAL TRESPASS","Y","N","M","B","19","BROOKLYN"
"309",1072016,"MISD","Y","N","M","Q","26","BROOKLYN"
"310",1072016,"MISD","Y","N","M","Q","28","BROOKLYN"
"311",1072016,"GLA","N","N","M","W","30","QUEENS"
"312",1072016,"C.P.M","N","N","M","P","35","BRONX"
"313",1072016,"CPW","Y","N","F","B","20","BRONX"
"314",1072016,"CPW","Y","N","M","B","19","BRONX"
"315",1072016,"CPW","Y","N","M","B","20","BRONX"
"316",1072016,"FIREARM - CPW","Y","N","M","P","52","BRONX"
"317",1072016,"CPW - FIREARM","Y","N","M","P","64","BRONX"
"318",1072016,"CPW","Y","N","M","B","19","BRONX"
"319",1072016,"CPW","Y","N","M","B","20","BRONX"
"320",1072016,"FEL","Y","N","M","B","28","BROOKLYN"
"321",1072016,"FEL","Y","Y","M","Z","17","MANHATTAN"
"322",1072016,"FEL","Y","N","M","B","21","BRONX"
"323",1072016,"FEL","N","N","M","B","31","BROOKLYN"
"324",1072016,"FEL","Y","N","M","Q","30","QUEENS"
"325",1072016,"FELONY","N","N","F","P","40","MANHATTAN"
"326",1072016,"FELONY","Y","N","M","B","22","BRONX"
"327",1072016,"CSCS","Y","Y","F","A","30","QUEENS"
"328",1072016,"CSCS","Y","Y","F","A","26","QUEENS"
"329",1072016,"FELONY","Y","Y","M","B","19","QUEENS"
"330",1072016,"FEL","N","N","M","W","21","MANHATTAN"
"331",1072016,"FEL","N","N","M","W","20","MANHATTAN"
"332",1072016,"FELONY","Y","N","M","B","21","BRONX"
"333",1072016,"FELONY","Y","N","M","P","22","BRONX"
"334",1072016,"RECKLESS ENDANGERMENT","Y","N","M","B","33","BROOKLYN"
"335",1072016,"FELONY","Y","N","M","B","15","BROOKLYN"
"336",1082016,"FEL","Y","N","M","Q","21","QUEENS"
"337",1082016,"MISD","Y","Y","M","Q","53","MANHATTAN"
"338",1082016,"ROBBERY","N","N","M","B","65","BROOKLYN"
"339",1082016,"ROBBERY","Y","Y","M","B","54","BROOKLYN"
"340",1082016,"CPW/ARSON","Y","Y","M","Q","57","BRONX"
"341",1082016,"BURG","Y","N","M","B","50","BROOKLYN"
"342",1082016,"BURGLARY","Y","Y","M","B","42","BROOKLYN"
"343",1082016,"10-11 COMMERCIAL BURGLARY","N","N","M","W","45","BRONX"
"344",1082016,"FELONY","Y","N","M","B","50","BROOKLYN"
"345",1082016,"MISD","N","N","M","B","25","BROOKLYN"
"346",1082016,"MISD","N","N","F","B","17","BROOKLYN"
"347",1082016,"PETIT LARCENY","Y","Y","M","B","38","MANHATTAN"
"348",1082016,"FELONY","N","N","M","W","45","QUEENS"
"349",1082016,"CPW","Y","N","M","B","18","BRONX"
"350",1082016,"CPW","Y","N","M","B","18","BRONX"
"351",1082016,"GRAND LARCENY","N","N","M","W","38","STATEN IS"
"352",1082016,"CPW","Y","Y","M","B","24","BRONX"
"353",1082016,"FEL","Y","N","M","P","40","BRONX"
"354",1082016,"ROBBERY","Y","Y","M","Q","18","BRONX"
"355",1082016,"PETIT LARCENY`","N","N","F","B","23","QUEENS"
"356",1082016,"PROMOTING GAMBLING","Y","N","M","B","23","BRONX"
"357",1082016,"PROMOTING GAMBLING","Y","Y","M","B","23","BRONX"
"358",1082016,"PROMOTING GAMBLING","Y","N","M","B","26","BRONX"
"359",1082016,"PROMOTING GAMBLING","Y","N","M","B","19","BRONX"
"360",1082016,"PROMOTING GAMBLING","Y","N","M","B","23","BRONX"
"361",1082016,"CPFI","N","N","M","B","47","BROOKLYN"
"362",1082016,"CPFI","N","N","M","B","35","BROOKLYN"
"363",1082016,"FEL","Y","N","M","P","56","BROOKLYN"
"364",1082016,"MISD","Y","N","M","B","23","BRONX"
"365",1082016,"CPW","Y","N","M","P","20","BRONX"
"366",1082016,"FEL","Y","N","M","Q","26","BROOKLYN"
"367",1082016,"FEL","Y","N","M","Z","21","BROOKLYN"
"368",1082016,"FEL","N","Y","M","Z","16","MANHATTAN"
"369",1082016,"CRIMINAL TRESPASS","Y","Y","M","Q","42","BRONX"
"370",1082016,"CPW","Y","N","M","B","23","BRONX"
"371",1082016,"MISD","Y","Y","F","I","37","BRONX"
"372",1082016,"FELONY","Y","N","M","B","44","QUEENS"
"373",1082016,"FEL","Y","N","M","B","27","BROOKLYN"
"374",1082016,"GLA","Y","N","M","Q","33","QUEENS"
"375",1082016,"GLA","Y","Y","M","Q","30","QUEENS"
"376",1082016,"FEL","Y","N","M","B","27","BROOKLYN"
"377",1082016,"FELONY","N","N","M","B","39","QUEENS"
"378",1082016,"FEL","N","N","F","Q","28","BRONX"
"379",1092016,"FEL","Y","Y","M","B","16","QUEENS"
"380",1092016,"FEL","Y","N","M","B","36","BROOKLYN"
"381",1092016,"FEL","Y","N","M","B","33","BROOKLYN"
"382",1092016,"MISD","N","N","M","B","26","MANHATTAN"
"383",1092016,"CRIM TRESPASS","N","N","F","B","29","BRONX"
"384",1092016,"MISD","Y","N","M","Q","24","MANHATTAN"
"385",1092016,"AUTO STRIPPING","Y","Y","M","Q","17","MANHATTAN"
"386",1092016,"FELONY","N","N","M","W","22","QUEENS"
"387",1092016,"FELONY","N","N","M","W","26","QUEENS"
"388",1092016,"FEL","Y","Y","M","B","53","QUEENS"
"389",1092016,"FELONY","Y","N","M","B","24","BRONX"
"390",1092016,"CPW","Y","N","M","Q","22","BRONX"
"391",1092016,"MISD - GLA","Y","N","M","A","35","BRONX"
"392",1092016,"FELONY","N","N","M","Q","37","BROOKLYN"
"393",1092016,"FELONY","Y","N","M","W","24","MANHATTAN"
"394",1092016,"MISDEMEANOR","Y","N","M","A","19","STATEN IS"
"395",1092016,"FEL SHOTS FIRED","Y","N","M","P","23","MANHATTAN"
"396",1092016,"FEL (SHOTS FIRED)","Y","N","M","Q","22","MANHATTAN"
"397",1092016,"CPW","Y","N","M","B","57","MANHATTAN"
"398",1092016,"CPW/MENACING","Y","N","M","B","23","BROOKLYN"
"399",1092016,"FEL","Y","N","M","B","51","BROOKLYN"
"400",1092016,"FEL","N","N","M","B","33","MANHATTAN"
"401",1092016,"FEL","Y","N","M","B","34","BROOKLYN"
"402",1092016,"FELONY","N","N","M","B","42","MANHATTAN"
"403",1092016,"FEL","N","N","M","B","16","BROOKLYN"
"404",1092016,"MISD","Y","Y","M","B","55","MANHATTAN"
"405",1092016,"MISD","Y","N","F","B","16","MANHATTAN"
"406",1092016,"MISD","N","N","M","Q","16","BROOKLYN"
"407",1092016,"CPW","Y","N","M","B","18","BROOKLYN"
"408",1092016,"FEL","N","N","M","W","35","BROOKLYN"
"409",1092016,"FEL","Y","N","M","B","23","QUEENS"
"410",1092016,"FEL","Y","N","M","B","28","QUEENS"
"411",1092016,"MISD","Y","N","M","P","30","MANHATTAN"
"412",1092016,"ROBBERY","N","N","M","B","26","BROOKLYN"
"413",1092016,"10-10 FIREARM CPW","Y","N","M","B","22","BROOKLYN"
"414",1092016,"CPW","Y","Y","M","B","19","BROOKLYN"
"415",1092016,"FEL","Y","N","M","Q","39","BROOKLYN"
"416",1092016,"POSSESION OF FIREARM","Y","N","M","B","34","BRONX"
"417",1092016,"MISD","N","Y","F","Q","17","BRONX"
"418",1092016,"CPM","Y","N","F","Q","16","QUEENS"
"419",1092016,"CPM","Y","N","M","W","16","QUEENS"
"420",1092016,"MISD","Y","Y","M","B","17","BRONX"
"421",1092016,"MISD","Y","Y","M","B","23","BRONX"
"422",1092016,"MISD","Y","Y","M","B","30","BRONX"
"423",1092016,"FEL","Y","N","M","B","49","QUEENS"
"424",1092016,"FEL","N","N","M","B","30","BRONX"
"425",1092016,"FEL","N","N","M","B","22","BROOKLYN"
"426",1092016,"CPW","Y","N","M","B","12","BROOKLYN"
