"","datestop","crimsusp","frisked","searched","sex","race","age","city"
"1",1012015,"FELONY","Y","N","M","W",33,"BROOKLYN"
"2",1152015,"FELONY","Y","N","M","B",14,"MANHATTAN"
"3",1292015,"MISD","N","N","M","B",14,"MANHATTAN"
"4",1292015,"MIDS","N","N","M","B",14,"MANHATTAN"
"5",1292015,"MISD","N","N","M","B",13,"MANHATTAN"
"6",1292015,"MISD","N","N","M","W",13,"MANHATTAN"
"7",2062015,"FEL","Y","N","M","B",25,"BROOKLYN"
"8",2072015,"FEL","Y","N","M","B",15,"MANHATTAN"
"9",2122015,"FEL","Y","N","M","B",23,"MANHATTAN"
"10",2142015,"FEONY","N","N","M","W",16,"BROOKLYN"
"11",2182015,"FELONY/ROBBERY","Y","N","M","B",30,"BROOKLYN"
"12",3142015,"ROBBERY","Y","N","M","B",18,"BROOKLYN"
"13",1012015,"FEL","Y","N","M","Q",48,"MANHATTAN"
"14",1012015,"FELONY","Y","N","M","B",16,"STATEN IS"
"15",1012015,"MISD","Y","Y","M","B",26,"MANHATTAN"
"16",1012015,"ASSAULT","N","N","M","B",14,"MANHATTAN"
"17",1012015,"MISD","Y","N","M","B",26,"MANHATTAN"
"18",1012015,"FEL","Y","N","M","Q",23,"QUEENS"
"19",1012015,"FELONY","Y","Y","M","P",19,"MANHATTAN"
"20",1012015,"CPW FIREARM/ASSULAT 1","Y","N","F","B",99,"MANHATTAN"
"21",1012015,"ROBBERY","Y","N","Z","Z",24,"BROOKLYN"
"22",1012015,"FEL","Y","N","M","Q",23,"BROOKLYN"
"23",1012015,"FEL","Y","N","M","Q",22,"BROOKLYN"
"24",1012015,"FEL","Y","N","M","Q",24,"BROOKLYN"
"25",1012015,"FEL","Y","N","F","Q",32,"QUEENS"
"26",1012015,"FEL","Y","N","M","W",35,"QUEENS"
"27",1012015,"FEL","Y","N","M","W",33,"BROOKLYN"
"28",1012015,"FELONY","N","N","M","A",39,"QUEENS"
"29",1012015,"FEL","Y","N","M","B",20,"BRONX"
"30",1012015,"MISD","N","N","M","B",30,"MANHATTAN"
"31",1012015,"MISD","N","N","M","B",35,"MANHATTAN"
"32",1012015,"FELONY/CPW","Y","N","M","B",20,"BROOKLYN"
"33",1012015,"GLA","N","N","M","P",44,"BRONX"
"34",1012015,"GLA","N","N","Z","Z",32,"BRONX"
"35",1012015,"CPW","N","N","F","Q",42,"BROOKLYN"
"36",1012015,"CPW","Y","N","M","Q",20,"BROOKLYN"
"37",1012015,"CPW","Y","N","M","Q",48,"BROOKLYN"
"38",1012015,"FELONY","Y","N","M","P",23,"MANHATTAN"
"39",1012015,"FEL","N","N","Z","Z",20,"BROOKLYN"
"40",1012015,"MISDEMEANOR","N","N","M","Q",15,"MANHATTAN"
"41",1012015,"MISDEMEANOR","N","N","M","Q",12,"MANHATTAN"
"42",1012015,"CPW","Y","Y","M","B",53,"MANHATTAN"
"43",1012015,"FELONY","Y","N","M","Q",28,"BROOKLYN"
"44",1012015,"MISD","Y","N","M","B",14,"MANHATTAN"
"45",1012015,"CPW","Y","N","M","Q",48,"BRONX"
"46",1012015,"CPW","Y","N","M","Q",16,"BRONX"
