"","datestop","crimsusp","frisked","searched","sex","race","age","city"
"1",1012014,"FEL","Y","N","M","B","18","BROOKLYN"
"2",1032014,"CRIMINAL MISCHIEF","Y","Y","M","B","31","MANHATTAN"
"3",1042014,"GRAND LARCENY (FEL)","Y","N","M","B","16","BROOKLYN"
"4",1092014,"CRIM TRESPASS","Y","N","M","A","19","BROOKLYN"
"5",1092014,"FEL","N","N","M","B","32","BROOKLYN"
"6",1152014,"CPW (GRAVITY KNIFE)","Y","Y","M","B","22","BRONX"
"7",1172014,"FEL","Y","N","M","B","32","BROOKLYN"
"8",1262014,"PL 140.10E","N","N","M","B","49","BROOKLYN"
"9",1302014,"FELONY","Y","N","M","Q","24","BRONX"
"10",1312014,"FEL","Y","N","M","B","41","BROOKLYN"
"11",2062014,"FELONY/BURG","Y","N","M","B","39","BROOKLYN"
"12",2192014,"MIS/CPW","Y","N","M","B","30","BROOKLYN"
"13",2202014,"MISD","Y","Y","M","Q","20","QUEENS"
"14",3012014,"MISD","N","N","M","B","22","BROOKLYN"
"15",3012014,"MISD","Y","N","M","B","1","BROOKLYN"
"16",3062014,"CRIMINAL MISCHIEF","Y","N","M","Q","48","QUEENS"
"17",3072014,"MISD","Y","N","M","B","17","MANHATTAN"
"18",3122014,"GLA","Y","N","M","A","23","QUEENS"
"19",3142014,"MISD","N","N","M","Q","34","BRONX"
"20",3162014,"FEL","N","N","M","Q","20","BROOKLYN"
"21",3182014,"MISD","N","N","M","B","22","BROOKLYN"
"22",3192014,"MIS","Y","N","M","W","17","BROOKLYN"
"23",3272014,"FELONY","N","N","M","Q","30","QUEENS"
"24",1012014,"MISD","Y","Y","M","B","50","BROOKLYN"
"25",1012014,"FEL","Y","N","M","P","31","QUEENS"
"26",1012014,"CPW","N","N","M","B","20","BROOKLYN"
"27",1012014,"FELONY","Y","N","M","B","26","BROOKLYN"
"28",1012014,"MISD","Y","N","M","B","27","BROOKLYN"
"29",1012014,"MISD","Y","N","M","B","27","BROOKLYN"
"30",1012014,"CPW","Y","N","M","Q","17","BRONX"
"31",1012014,"CPW","Y","N","M","B","35","BRONX"
"32",1012014,"CPW","Y","N","M","B","17","STATEN ISLAND"
"33",1012014,"CPW","Y","N","M","B","51","BROOKLYN"
"34",1012014,"FEL","Y","N","M","B","24","BROOKLYN"
"35",1012014,"ASSAULT","Y","N","M","B","31","BROOKLYN"
"36",1012014,"FELONY","Y","N","M","B","28","BROOKLYN"
