"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2015-01-01,"M",33,"W","BROOKLYN","FELONY","Y","N","N"
2015-01-15,"M",14,"B","MANHATTAN","FELONY","Y","N","N"
2015-01-29,"M",14,"B","MANHATTAN","MISD","N","N","N"
2015-01-29,"M",14,"B","MANHATTAN","MIDS","N","N","N"
2015-01-29,"M",13,"B","MANHATTAN","MISD","N","N","N"
2015-01-29,"M",13,"W","MANHATTAN","MISD","N","N","N"
2015-02-06,"M",25,"B","BROOKLYN","FEL","Y","N","N"
2015-02-07,"M",15,"B","MANHATTAN","FEL","Y","N","N"
2015-02-12,"M",23,"B","MANHATTAN","FEL","Y","N","N"
2015-02-14,"M",16,"W","BROOKLYN","FEONY","N","N","N"
2015-02-18,"M",30,"B","BROOKLYN","FELONY/ROBBERY","Y","N","N"
2015-03-14,"M",18,"B","BROOKLYN","ROBBERY","Y","N","N"
2015-01-01,"M",48,"Q","MANHATTAN","FEL","Y","N","N"
2015-01-01,"M",16,"B","STATEN IS","FELONY","Y","N","N"
2015-01-01,"M",26,"B","MANHATTAN","MISD","Y","Y","Y"
2015-01-01,"M",14,"B","MANHATTAN","ASSAULT","N","N","N"
2015-01-01,"M",26,"B","MANHATTAN","MISD","Y","N","N"
2015-01-01,"M",23,"Q","QUEENS","FEL","Y","N","N"
2015-01-01,"M",19,"P","MANHATTAN","FELONY","Y","Y","Y"
2015-01-01,"F",99,"B","MANHATTAN","CPW FIREARM/ASSULAT 1","Y","N","N"
2015-01-01,"Z",24,"Z","BROOKLYN","ROBBERY","Y","N","N"
2015-01-01,"M",23,"Q","BROOKLYN","FEL","Y","N","N"
2015-01-01,"M",22,"Q","BROOKLYN","FEL","Y","N","N"
2015-01-01,"M",24,"Q","BROOKLYN","FEL","Y","N","N"
2015-01-01,"F",32,"Q","QUEENS","FEL","Y","N","N"
2015-01-01,"M",35,"W","QUEENS","FEL","Y","N","N"
2015-01-01,"M",33,"W","BROOKLYN","FEL","Y","N","N"
2015-01-01,"M",39,"A","QUEENS","FELONY","N","N","Y"
2015-01-01,"M",20,"B","BRONX","FEL","Y","N","N"
2015-01-01,"M",30,"B","MANHATTAN","MISD","N","N","N"
2015-01-01,"M",35,"B","MANHATTAN","MISD","N","N","N"
2015-01-01,"M",20,"B","BROOKLYN","FELONY/CPW","Y","N","N"
2015-01-01,"M",44,"P","BRONX","GLA","N","N","N"
2015-01-01,"Z",32,"Z","BRONX","GLA","N","N","N"
2015-01-01,"F",42,"Q","BROOKLYN","CPW","N","N","N"
2015-01-01,"M",20,"Q","BROOKLYN","CPW","Y","N","N"
2015-01-01,"M",48,"Q","BROOKLYN","CPW","Y","N","N"
2015-01-01,"M",23,"P","MANHATTAN","FELONY","Y","N","N"
2015-01-01,"Z",20,"Z","BROOKLYN","FEL","N","N","N"
2015-01-01,"M",15,"Q","MANHATTAN","MISDEMEANOR","N","N","N"
2015-01-01,"M",12,"Q","MANHATTAN","MISDEMEANOR","N","N","N"
2015-01-01,"M",53,"B","MANHATTAN","CPW","Y","Y","Y"
2015-01-01,"M",28,"Q","BROOKLYN","FELONY","Y","N","N"
2015-01-01,"M",14,"B","MANHATTAN","MISD","Y","N","N"
2015-01-01,"M",48,"Q","BRONX","CPW","Y","N","N"
2015-01-01,"M",16,"Q","BRONX","CPW","Y","N","N"
2015-01-01,"M",17,"B","BROOKLYN","FEL","Y","N","Y"
2015-01-01,"M",16,"B","MANHATTAN","MISD","Y","N","N"
2015-01-01,"M",16,"B","QUEENS","FEL","Y","N","N"
2015-01-01,"M",20,"B","MANHATTAN","MISD","Y","N","N"
2015-01-01,"M",21,"Q","MANHATTAN","FEL","Y","N","N"
2015-01-01,"M",28,"Q","BRONX","MENACING W/FIREARM","Y","N","N"
2015-01-01,"M",21,"Q","BRONX","MENACING W/FIREARM","Y","N","N"
2015-01-01,"M",31,"B","MANHATTAN","MISD","N","N","N"
2015-01-01,"F",27,"B","MANHATTAN","FEL","Y","N","Y"
2015-01-01,"M",19,"B","BROOKLYN","CPW","Y","N","N"
2015-01-01,"M",22,"B","BROOKLYN","CPW","Y","N","N"
2015-01-01,"M",20,"Q","BRONX","ROBBERY","Y","N","N"
2015-01-01,"M",20,"Q","BRONX","CPW","Y","N","N"
2015-01-02,"M",49,"Q","BROOKLYN","FEL","Y","Y","N"
2015-01-02,"M",16,"B","BROOKLYN","CPW","Y","N","N"
2015-01-02,"M",24,"B","BROOKLYN","FELONY","Y","N","N"
2015-01-02,"M",24,"I","BROOKLYN","FEL","Y","N","N"
2015-01-02,"M",16,"B","BROOKLYN","MISD","Y","Y","N"
2015-01-02,"M",33,"Q","MANHATTAN","FELONY","Y","N","N"
2015-01-02,"M",30,"P","MANHATTAN","ROBBERY","Y","N","N"
2015-01-02,"M",34,"B","QUEENS","GLA","Y","N","Y"
2015-01-02,"M",17,"W","BROOKLYN","GLA","Y","N","N"
2015-01-02,"M",19,"W","BROOKLYN","GLA","Y","N","N"
2015-01-02,"M",30,"Q","BRONX","FELONY ASSAULT","N","N","N"
2015-01-02,"M",45,"Q","MANHATTAN","FEL","N","N","N"
2015-01-02,"M",57,"P","BROOKLYN","MISD","Y","Y","Y"
2015-01-02,"M",18,"B","BRONX","FEL/ROB","Y","Y","Y"
2015-01-02,"F",16,"B","QUEENS","FELONY","Y","N","N"
2015-01-02,"M",20,"B","BROOKLYN","FEL","Y","N","N"
2015-01-02,"M",20,"B","BROOKLYN","FEL","Y","N","N"
2015-01-02,"M",19,"W","QUEENS","ROBBERY","N","N","N"
2015-01-02,"F",21,"B","BROOKLYN","MIS/ASSAULT","Y","Y","N"
