Year,Borough,Quarter,DAT,non_DAT
2021,Queens,4,945,1933
2021,SI,4,354,313
2022,Bronx,1,1336,2660
2022,Brooklyn,1,1111,3047
2022,Manhattan,1,1876,2452
2022,Queens,1,952,2191
2022,SI,1,371,386
2022,Bronx,2,1239,3263
2022,Brooklyn,2,1039,3792
2022,Manhattan,2,1351,3316
2022,Queens,2,916,2723
2022,SI,2,352,532
2022,Bronx,3,1223,3420
2022,Brooklyn,3,972,3368
2022,Manhattan,3,1101,3320
2022,Queens,3,785,2745
2022,SI,3,287,546
2022,Bronx,4,1724,3304
2022,Brooklyn,4,1186,3604
2022,Manhattan,4,1379,3601
2022,Queens,4,1051,2618
2022,SI,4,321,539
