"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2016-02-07,"M","48","B","BRONX","BURG","Y","Y","Y"
2016-02-18,"M","20","W","MANHATTAN","MISDEMEANOR","N","Y","N"
2016-01-01,"M","34","P","BROOKLYN","FEL","Y","Y","Y"
2016-01-01,"M","33","B","BRONX","FEL","Y","N","N"
2016-01-01,"M","22","B","BROOKLYN","D.W.I.","N","N","N"
2016-01-01,"M","30","B","BROOKLYN","FELONY","Y","N","N"
2016-01-01,"M","27","B","BRONX","FEL","Y","N","N"
2016-01-01,"M","35","B","BROOKLYN","FEL","Y","N","N"
2016-01-01,"M","22","B","BRONX","MISD","Y","Y","Y"
2016-01-01,"M","25","B","BROOKLYN","MISD","N","N","N"
2016-01-01,"M","14","B","BRONX","MISD","Y","Y","Y"
2016-01-01,"M","38","A","MANHATTAN","FELONY","Y","Y","Y"
2016-01-01,"M","56","B","BRONX","CPW","Y","N","N"
2016-01-01,"M","50","W","QUEENS","FELONY","Y","N","N"
2016-01-01,"M","21","P","QUEENS","FEL","Y","N","N"
2016-01-01,"M","23","B","QUEENS","FEL","Y","N","N"
2016-01-01,"M","32","B","BROOKLYN","FEL","Y","N","N"
2016-01-01,"M","25","B","BROOKLYN","FEL","Y","N","N"
2016-01-01,"M","24","B","MANHATTAN","FELONY","Y","N","N"
2016-01-01,"M","18","P","QUEENS","MISD","Y","Y","Y"
2016-01-01,"M","31","B","BROOKLYN","FELONY","N","N","N"
2016-01-01,"M","32","W","BROOKLYN","FELONY","N","N","N"
2016-01-01,"M","25","B","STATEN IS","CPW","Y","N","Y"
2016-01-01,"M","25","Q","STATEN IS","CPW","Y","N","Y"
2016-01-01,"M","17","Q","QUEENS","FEL","N","N","N"
2016-01-01,"M","26","B","MANHATTAN","FEL","Y","N","N"
2016-01-01,"M","38","B","BRONX","MISD","Y","N","N"
2016-01-01,"M","32","B","MANHATTAN","ASSAULT 3","N","N","N"
2016-01-01,"M","31","W","QUEENS","CPW","Y","Y","Y"
2016-01-01,"M","41","Q","BROOKLYN","CRIMINAL TRESPASS","N","Y","Y"
2016-01-01,"M","30","B","STATEN IS","ASSAULT 2","N","N","N"
2016-01-01,"M","17","B","MANHATTAN","MISD","Y","N","N"
2016-01-01,"M","64","B","QUEENS","CRIMINAL MISCHIEF/LARCENY MIS","N","Y","Y"
2016-01-01,"M","21","B","BROOKLYN","FELONY","Y","Y","N"
2016-01-01,"M","22","B","BROOKLYN","FELONY","Y","Y","N"
2016-01-01,"M","16","U","BROOKLYN","MISD","Y","Y","N"
2016-01-01,"M","20","W","MANHATTAN","FEL","Y","N","N"
2016-01-01,"M","25","W","BROOKLYN","MISDEMEANOR","N","N","N"
2016-01-01,"M","12","Q","BRONX","CRIMINAL MISCHIEF","N","N","N"
2016-01-01,"M","20","B","BROOKLYN","CPW","Y","N","N"
2016-01-01,"M","24","B","BROOKLYN","CPW","Y","N","Y"
2016-01-01,"M","34","Q","MANHATTAN","FELONY","Y","Y","Y"
2016-01-01,"M","29","Q","QUEENS","BURGLARY","Y","Y","Y"
2016-01-01,"M","24","Q","QUEENS","BURGLARY","Y","Y","Y"
2016-01-01,"F","22","W","BROOKLYN","MISD","N","N","N"
2016-01-01,"M","26","W","BROOKLYN","MISD","N","N","N"
2016-01-01,"M","29","Q","BRONX","CPW","Y","Y","Y"
2016-01-01,"M","25","P","MANHATTAN","FEL","Y","N","N"
2016-01-01,"M","26","B","BROOKLYN","FEL","Y","N","N"
2016-01-01,"M","28","B","BROOKLYN","FEL","Y","N","N"
2016-01-01,"M","23","B","MANHATTAN","CPW","Y","Y","Y"
2016-01-01,"M","23","W","MANHATTAN","MISD","Y","N","N"
2016-01-01,"M","23","W","MANHATTAN","MISD","Y","N","N"
2016-01-01,"M","32","P","BRONX","MISD","Y","Y","N"
2016-01-01,"M","26","P","STATEN IS","ROBBERY","Y","N","N"
2016-01-01,"M","37","W","STATEN IS","ROBBERY","Y","N","N"
2016-01-01,"M","47","W","STATEN IS","ROBBERY","Y","N","N"
2016-01-01,"M","20","A","QUEENS","GLA","Y","N","N"
2016-01-01,"M","41","B","BROOKLYN","GLA","N","N","N"
2016-01-01,"M","17","B","BRONX","PETIT LARCENY","Y","N","N"
2016-01-01,"M","31","B","QUEENS","FELONY","Y","N","N"
2016-01-01,"M","37","B","BRONX","FEL","Y","N","N"
2016-01-01,"M","21","Q","QUEENS","FELONY","Y","N","N"
2016-01-02,"M","30","B","MANHATTAN","CPW","Y","N","N"
2016-01-02,"M","29","B","BROOKLYN","CPW","Y","N","N"
2016-01-02,"M","24","B","BROOKLYN","FEL","N","N","N"
2016-01-02,"M","45","Q","BRONX","CPW","Y","N","N"
2016-01-02,"M","52","Q","BROOKLYN","FEL","Y","N","N"
2016-01-02,"M","21","P","QUEENS","GLA","N","N","N"
2016-01-02,"M","28","Q","BRONX","BURGLARY","N","N","N"
2016-01-02,"F","24","B","QUEENS","FELONY","Y","Y","Y"
2016-01-02,"M","37","B","QUEENS","CPW","Y","Y","N"
2016-01-02,"M","58","B","MANHATTAN","FELONY","N","N","N"
2016-01-02,"M","23","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","69","B","QUEENS","FELONY","N","Y","Y"
2016-01-02,"M","37","Q","BRONX","CPW","Y","N","N"
2016-01-02,"M","52","W","MANHATTAN","FEL","Y","Y","N"
2016-01-02,"M","18","B","BROOKLYN","FEL","Y","N","N"
2016-01-02,"M","15","B","BROOKLYN","FEL","Y","N","N"
2016-01-02,"M","17","Q","BROOKLYN","FEL","Y","N","N"
2016-01-02,"M","17","W","BROOKLYN","FEL","Y","N","N"
2016-01-02,"M","19","B","MANHATTAN","MISD","Y","N","N"
2016-01-02,"M","57","B","BROOKLYN","MISDEMEANOR","Y","Y","Y"
2016-01-02,"M","52","B","BROOKLYN","MISD","Y","N","Y"
2016-01-02,"M","23","W","MANHATTAN","MISD","Y","Y","Y"
2016-01-02,"M","29","W","MANHATTAN","MISD","Y","N","N"
2016-01-02,"F","35","B","STATEN IS","FELONY","N","N","Y"
2016-01-02,"M","45","Q","STATEN IS","CPW","Y","N","N"
2016-01-02,"M","20","Q","STATEN IS","CPW","Y","N","N"
2016-01-02,"M","49","W","STATEN IS","CPW","Y","N","N"
2016-01-02,"M","41","W","BROOKLYN","GLA (FEL)","Y","N","N"
2016-01-02,"M","52","B","BROOKLYN","MISD","Y","Y","N"
2016-01-02,"M","51","P","BRONX","GLA","Y","Y","Y"
2016-01-02,"M","24","Q","MANHATTAN","FELONY","Y","N","N"
2016-01-02,"M","19","B","BROOKLYN","MISD","Y","N","N"
2016-01-02,"M","**","B","BROOKLYN","MISD","Y","Y","N"
2016-01-02,"M","35","A","BROOKLYN","MISD","Y","Y","Y"
2016-01-02,"M","35","W","BROOKLYN","MISD","Y","N","N"
2016-01-02,"F","19","Q","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","25","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","23","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","18","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","19","B","BROOKLYN","ROBBERY","Y","Y","Y"
2016-01-02,"M","14","Q","BROOKLYN","ROBBERY","N","N","N"
2016-01-02,"M","21","B","BRONX","MISD","Y","Y","Y"
2016-01-02,"M","61","B","BRONX","MISD","Y","Y","Y"
2016-01-02,"M","23","B","BROOKLYN","CPW","Y","N","N"
2016-01-02,"M","23","B","BROOKLYN","CPW","Y","N","N"
2016-01-02,"M","16","B","BROOKLYN","CPW","Y","Y","Y"
2016-01-02,"M","22","W","BRONX","GRAFFITI","N","Y","Y"
2016-01-02,"M","25","W","BRONX","GRAFFITI","N","Y","Y"
2016-01-02,"M","19","Q","BRONX","CPW","Y","N","N"
2016-01-02,"M","24","Q","BROOKLYN","FEL","Y","Y","Y"
2016-01-02,"M","19","Q","BROOKLYN","FEL","Y","Y","N"
2016-01-02,"F","32","B","MANHATTAN","FEL","Y","N","N"
2016-01-03,"M","55","W","BRONX","CPW","Y","N","N"
2016-01-03,"M","39","Q","BROOKLYN","MISD","Y","Y","Y"
2016-01-03,"M","40","W","QUEENS","MISD","N","N","N"
2016-01-03,"M","45","Z","QUEENS","MISD","N","N","N"
2016-01-03,"M","23","W","BRONX","CPM, CPW, CRIMINAL TRESPASS","Y","N","N"
2016-01-03,"M","28","W","BRONX","CPM, CPW, CRIM TRESPASS","Y","Y","Y"
2016-01-03,"M","18","A","MANHATTAN","FEL","Y","N","N"
2016-01-03,"M","22","Q","MANHATTAN","MISD","N","N","N"
2016-01-03,"M","25","A","MANHATTAN","FELONY","Y","Y","N"
2016-01-03,"M","26","Q","BRONX","ASSAULT","N","N","N"
2016-01-03,"M","22","Q","QUEENS","FELONY","Y","Y","N"
2016-01-03,"M","22","W","QUEENS","FELONY","Y","Y","N"
2016-01-03,"M","19","W","QUEENS","FELONY","Y","Y","N"
2016-01-03,"M","22","W","QUEENS","FELONY","Y","Y","N"
2016-01-03,"M","14","B","BROOKLYN","FEL","Y","N","N"
2016-01-03,"M","34","B","BRONX","FELONY","Y","Y","Y"
2016-01-03,"M","25","B","BRONX","CPW","Y","N","N"
2016-01-03,"M","46","B","BRONX","GLA","Y","N","N"
2016-01-03,"M","19","Q","BRONX","ROBBERY","Y","N","N"
2016-01-03,"M","18","Q","BRONX","ROBBERY","Y","N","N"
2016-01-03,"M","53","B","BRONX","MISD","Y","Y","Y"
2016-01-04,"M","32","Q","BRONX","MISD","Y","Y","Y"
2016-01-04,"M","21","B","MANHATTAN","FEL","Y","Y","Y"
2016-01-04,"M","54","B","MANHATTAN","FEL","Y","N","N"
2016-01-04,"M","51","B","MANHATTAN","FEL","Y","N","N"
2016-01-04,"M","20","B","MANHATTAN","MISD","Y","Y","Y"
2016-01-04,"M","29","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-04,"M","36","B","QUEENS","MISDEMENAOR","Y","Y","N"
2016-01-04,"M","18","B","STATEN IS","ASSAULT","N","N","N"
2016-01-04,"F","32","Q","QUEENS","FELONY","Y","N","N"
2016-01-04,"M","29","B","QUEENS","FELONY","Y","Y","N"
2016-01-04,"M","25","A","QUEENS","FELONY","Y","Y","N"
2016-01-04,"M","16","Q","BRONX","FEL","Y","N","N"
2016-01-04,"M","34","W","BROOKLYN","FEL","Y","N","N"
2016-01-04,"M","26","B","QUEENS","FELONY","Y","N","N"
2016-01-04,"M","26","Q","BRONX","FEL","Y","N","N"
2016-01-04,"M","51","B","MANHATTAN","MISD","Y","N","N"
2016-01-04,"M","19","B","BROOKLYN","ROBBERY","Y","N","N"
2016-01-04,"M","32","B","MANHATTAN","AGG HARASSMENT","N","Y","Y"
2016-01-04,"M","45","W","BRONX","CPW","Y","Y","Y"
2016-01-04,"M","38","W","BRONX","CP","Y","Y","Y"
2016-01-04,"M","25","B","MANHATTAN","CPW","Y","N","N"
2016-01-04,"M","30","B","BRONX","FELONY","Y","Y","N"
2016-01-04,"M","24","A","QUEENS","FELONY","Y","Y","N"
2016-01-05,"M","37","B","QUEENS","FELONY","Y","N","N"
2016-01-05,"M","42","B","BROOKLYN","FEL","N","N","N"
2016-01-05,"M","44","B","BROOKLYN","GLA","Y","N","N"
2016-01-05,"M","25","B","BRONX","CPCS/CPW","Y","N","N"
2016-01-05,"M","23","Q","BRONX","GLA","Y","Y","Y"
2016-01-05,"M","41","B","BRONX","CPW","Y","N","N"
2016-01-05,"M","44","B","BROOKLYN","GLA","Y","Y","N"
2016-01-05,"M","18","B","MANHATTAN","CPW","Y","Y","N"
2016-01-05,"M","20","B","MANHATTAN","CPW","Y","Y","Y"
2016-01-05,"M","27","P","MANHATTAN","CPW","Y","N","N"
2016-01-05,"M","18","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-05,"M","22","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-05,"F","24","P","BRONX","MISD","Y","Y","Y"
2016-01-05,"M","68","P","QUEENS","FELONY","N","N","N"
2016-01-05,"M","37","W","QUEENS","FELONY","N","N","N"
2016-01-05,"M","35","B","BROOKLYN","MISD","N","N","N"
2016-01-05,"M","43","B","BROOKLYN","MISD","N","N","N"
2016-01-05,"M","21","Q","QUEENS","FEL","Y","N","N"
2016-01-05,"M","27","B","MANHATTAN","CPW","Y","N","N"
2016-01-05,"M","57","W","MANHATTAN","MISD","N","N","N"
2016-01-05,"M","28","W","MANHATTAN","MISD","N","N","N"
2016-01-05,"M","61","W","MANHATTAN","MISD","N","N","N"
2016-01-05,"M","41","W","QUEENS","FELONY","N","N","N"
2016-01-05,"M","19","B","BROOKLYN","FEL","Y","N","N"
2016-01-05,"M","18","B","BROOKLYN","FEL","Y","N","N"
2016-01-05,"M","25","U","BROOKLYN","FEL","Y","N","N"
2016-01-05,"M","18","Q","QUEENS","FEL","Y","Y","N"
2016-01-05,"M","22","A","BRONX","GRAFITTI","Y","N","N"
2016-01-05,"M","19","A","BRONX","GRAFITTI","N","Y","Y"
2016-01-05,"M","46","Q","QUEENS","FELONY","N","N","N"
2016-01-05,"M","17","Q","BROOKLYN","MISD","Y","Y","Y"
2016-01-05,"M","15","Q","BROOKLYN","MISD","Y","Y","Y"
2016-01-05,"M","26","B","BRONX","FEL","Y","N","N"
2016-01-05,"M","36","W","BROOKLYN","CRIMINAL TRESPASS/BURGLARY","Y","N","N"
2016-01-05,"M","18","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-05,"M","26","W","QUEENS","FELONY","N","N","N"
2016-01-05,"M","29","B","BROOKLYN","GLA","N","N","N"
2016-01-05,"M","16","Q","QUEENS","FELONY","Y","N","N"
2016-01-05,"M","25","Q","QUEENS","FELONY","Y","N","N"
2016-01-06,"M","42","B","BROOKLYN","CPW","Y","N","N"
2016-01-06,"M","24","A","MANHATTAN","CPW","Y","N","N"
2016-01-06,"M","26","B","MANHATTAN","CPW","Y","N","N"
2016-01-06,"M","22","B","BROOKLYN","CPW","Y","N","N"
2016-01-06,"M","44","B","BRONX","FELONY","Y","N","N"
2016-01-06,"M","31","B","MANHATTAN","FELONY","N","N","N"
2016-01-06,"M","33","Q","MANHATTAN","FEL","Y","N","N"
2016-01-06,"F","28","Z","BRONX","ROBBERY W/FIREARM","Y","Y","Y"
2016-01-06,"M","32","B","BRONX","ROBBERY W/FIREARM","Y","Y","Y"
2016-01-06,"M","22","A","QUEENS","MISD","Y","Y","Y"
2016-01-06,"M","36","Q","BROOKLYN","MISD","Y","N","Y"
2016-01-06,"M","18","Q","BROOKLYN","FEL","Y","N","N"
2016-01-06,"M","31","Z","QUEENS","FELONY","N","N","N"
2016-01-06,"F","39","B","MANHATTAN","MISD","Y","Y","Y"
2016-01-06,"M","55","B","MANHATTAN","MISD","Y","N","N"
2016-01-06,"M","34","B","BROOKLYN","FELONY","Y","N","N"
2016-01-06,"M","36","P","BROOKLYN","MISD","N","Y","Y"
2016-01-06,"M","40","B","BROOKLYN","MISD","Y","Y","N"
2016-01-06,"M","48","Q","BROOKLYN","MISD","Y","N","Y"
2016-01-06,"M","19","B","BRONX","CPW","N","N","N"
2016-01-06,"M","23","P","BRONX","CPW","N","N","N"
2016-01-06,"M","25","Q","MANHATTAN","FELONY","N","N","N"
2016-01-06,"M","18","B","BROOKLYN","MISD","Y","N","Y"
2016-01-06,"M","18","B","BRONX","CPW (GUN)","Y","N","Y"
2016-01-06,"M","23","Q","QUEENS","CPW","Y","N","N"
2016-01-06,"M","30","B","BRONX","ROBBERY","N","N","N"
2016-01-06,"M","40","Q","QUEENS","FELONY","Y","Y","Y"
2016-01-06,"M","26","Q","QUEENS","CPW","Y","N","N"
2016-01-06,"M","36","Q","BRONX","CIMINAL SALE CONTROLLED SUB.","N","N","N"
2016-01-06,"M","25","P","BROOKLYN","FELONY","Y","Y","N"
2016-01-06,"M","28","B","QUEENS","FELONY","Y","N","N"
2016-01-06,"M","26","Q","BRONX","CPW","N","N","N"
2016-01-06,"M","47","Q","MANHATTAN","MISD","Y","Y","N"
2016-01-06,"F","18","A","QUEENS","FEL","N","N","Y"
2016-01-06,"F","18","B","QUEENS","FEL","N","N","N"
2016-01-06,"M","24","P","BRONX","CPCS","N","N","N"
2016-01-06,"M","18","Q","QUEENS","FEL","N","N","N"
2016-01-06,"M","17","Q","QUEENS","FEL","N","N","N"
2016-01-06,"M","17","W","QUEENS","FEL","N","N","N"
2016-01-06,"M","18","W","QUEENS","FEL","N","N","N"
2016-01-06,"M","16","Q","BRONX","MISD","Y","N","N"
2016-01-06,"M","16","Q","BRONX","MISD","Y","N","N"
2016-01-06,"Z","17","Z","BRONX","MISD","Y","N","Y"
2016-01-06,"Z","16","Z","BRONX","MISD","Y","N","N"
2016-01-06,"M","23","B","BRONX","ROB","Y","N","N"
2016-01-06,"M","45","B","BROOKLYN","GRAND LARCENY (FEL)","N","N","N"
2016-01-06,"M","21","B","BROOKLYN","FEL","Y","N","N"
2016-01-06,"M","16","B","BRONX","MISD","Y","N","N"
2016-01-06,"M","55","B","MANHATTAN","CPW","Y","N","N"
2016-01-06,"M","14","B","MANHATTAN","MISD","Y","N","N"
2016-01-06,"M","36","Q","BRONX","MISD","Y","Y","Y"
2016-01-06,"M","19","B","BRONX","CPW","Y","N","N"
2016-01-06,"M","30","B","BROOKLYN","CRIMINAL TRESPASS","Y","N","Y"
2016-01-06,"M","45","A","MANHATTAN","FELONY","Y","Y","N"
2016-01-06,"F","18","B","BRONX","CRIMINAL TRESPASS","N","N","Y"
2016-01-06,"M","20","B","BRONX","CRIMINAL TRESPASS","N","N","Y"
2016-01-07,"M","43","W","BROOKLYN","FELONY","Y","N","N"
2016-01-07,"M","19","B","BROOKLYN","FEL","N","N","N"
2016-01-07,"M","17","B","STATEN IS","LARCENY FROM AUTO","N","N","N"
2016-01-07,"M","16","B","STATEN IS","LARCENY FROM AUTO","N","N","N"
2016-01-07,"M","21","P","MANHATTAN","FEL","Y","N","N"
2016-01-07,"M","35","P","BRONX","CPW","Y","N","N"
2016-01-07,"M","18","P","MANHATTAN","FEL","Y","N","N"
2016-01-07,"M","28","Q","BRONX","CPW","Y","N","N"
2016-01-07,"M","28","Z","MANHATTAN","FEL","Y","N","N"
2016-01-07,"M","18","Q","QUEENS","FEL","Y","N","N"
2016-01-07,"M","21","B","MANHATTAN","ROBBERY","Y","N","N"
2016-01-07,"M","19","B","MANHATTAN","F","Y","N","N"
2016-01-07,"M","19","Q","MANHATTAN","ROBBERY","Y","N","N"
2016-01-07,"M","18","Q","MANHATTAN","ROBBERY","Y","N","N"
2016-01-07,"M","19","B","BROOKLYN","FELONY","Y","N","N"
2016-01-07,"M","18","B","BROOKLYN","FEL","Y","N","N"
2016-01-07,"M","18","B","BROOKLYN","FEL","N","N","N"
2016-01-07,"M","24","B","QUEENS","MISDEMEANOR","Y","N","Y"
2016-01-07,"M","22","B","QUEENS","MISDEMEANOR","Y","N","N"
2016-01-07,"M","64","B","MANHATTAN","FEL","N","N","N"
2016-01-07,"M","26","Z","BRONX","FEL","N","N","N"
2016-01-07,"M","31","B","STATEN IS","BURGLARY","N","N","N"
2016-01-07,"M","30","B","MANHATTAN","C/ MISCHIEF","N","N","N"
2016-01-07,"M","41","B","STATEN IS","MISDEMEANOR","N","N","N"
2016-01-07,"M","36","B","QUEENS","FEL","Y","Y","Y"
2016-01-07,"M","53","B","MANHATTAN","MISD","Y","Y","Y"
2016-01-07,"M","30","A","QUEENS","FEL","Y","N","N"
2016-01-07,"M","33","A","QUEENS","FEL","Y","N","N"
2016-01-07,"M","43","B","QUEENS","FEL","Y","N","N"
2016-01-07,"M","44","Q","QUEENS","FEL","Y","N","N"
2016-01-07,"M","18","A","QUEENS","FELONY","Y","N","Y"
2016-01-07,"M","42","B","MANHATTAN","MISD","N","N","N"
2016-01-07,"M","29","Q","BRONX","SELLING SWIPES 165.16","N","N","N"
2016-01-07,"M","38","Q","MANHATTAN","MISD","Y","Y","Y"
2016-01-07,"M","19","B","MANHATTAN","MISD","Y","N","N"
2016-01-07,"M","22","B","BRONX","CPCS","N","N","N"
2016-01-07,"M","19","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","19","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","43","B","BRONX","FEL","Y","Y","N"
2016-01-07,"F","57","Q","MANHATTAN","MISD","Y","Y","Y"
2016-01-07,"M","30","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","21","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","35","B","BRONX","FEL","Y","Y","N"
2016-01-07,"M","39","W","QUEENS","FELONY","Y","Y","Y"
2016-01-07,"M","16","B","MANHATTAN","ROBBERY","Y","N","N"
2016-01-07,"M","19","B","MANHATTAN","ROBBERY","Y","N","N"
2016-01-07,"M","27","B","MANHATTAN","FEL","Y","N","N"
2016-01-07,"F","21","B","BROOKLYN","GRAND LARCENY","N","N","N"
2016-01-07,"M","48","B","MANHATTAN","CRIM POSS OF MARI","Y","N","N"
2016-01-07,"M","23","B","BRONX","MISD","Y","Y","N"
2016-01-07,"M","23","B","BRONX","MISD","Y","Y","N"
2016-01-07,"M","20","Q","BROOKLYN","ASSAULT","Y","N","Y"
2016-01-07,"M","23","B","MANHATTAN","PETIT LARCENY","N","N","N"
2016-01-07,"M","19","B","BROOKLYN","CRIMINAL TRESPASS","Y","N","Y"
2016-01-07,"M","26","Q","BROOKLYN","MISD","Y","N","N"
2016-01-07,"M","28","Q","BROOKLYN","MISD","Y","N","N"
2016-01-07,"M","30","W","QUEENS","GLA","N","N","N"
2016-01-07,"M","35","P","BRONX","C.P.M","N","N","N"
2016-01-07,"F","20","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","19","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","20","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","52","P","BRONX","FIREARM - CPW","Y","N","N"
2016-01-07,"M","64","P","BRONX","CPW - FIREARM","Y","N","N"
2016-01-07,"M","19","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","20","B","BRONX","CPW","Y","N","N"
2016-01-07,"M","28","B","BROOKLYN","FEL","Y","N","N"
2016-01-07,"M","17","Z","MANHATTAN","FEL","Y","Y","Y"
2016-01-07,"M","21","B","BRONX","FEL","Y","N","Y"
2016-01-07,"M","31","B","BROOKLYN","FEL","N","N","N"
2016-01-07,"M","30","Q","QUEENS","FEL","Y","N","N"
2016-01-07,"F","40","P","MANHATTAN","FELONY","N","N","N"
2016-01-07,"M","22","B","BRONX","FELONY","Y","N","N"
2016-01-07,"F","30","A","QUEENS","CSCS","Y","Y","N"
2016-01-07,"F","26","A","QUEENS","CSCS","Y","Y","N"
2016-01-07,"M","19","B","QUEENS","FELONY","Y","Y","N"
2016-01-07,"M","21","W","MANHATTAN","FEL","N","N","N"
2016-01-07,"M","20","W","MANHATTAN","FEL","N","N","N"
2016-01-07,"M","21","B","BRONX","FELONY","Y","N","N"
2016-01-07,"M","22","P","BRONX","FELONY","Y","N","N"
2016-01-07,"M","33","B","BROOKLYN","RECKLESS ENDANGERMENT","Y","N","N"
2016-01-07,"M","15","B","BROOKLYN","FELONY","Y","N","N"
2016-01-08,"M","21","Q","QUEENS","FEL","Y","N","N"
2016-01-08,"M","53","Q","MANHATTAN","MISD","Y","Y","N"
2016-01-08,"M","65","B","BROOKLYN","ROBBERY","N","N","N"
2016-01-08,"M","54","B","BROOKLYN","ROBBERY","Y","Y","N"
2016-01-08,"M","57","Q","BRONX","CPW/ARSON","Y","Y","Y"
