"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2017-03-03,"MALE","43","BLACK","MANHATTAN","ROBBERY","Y","Y","Y"
2017-03-07,"MALE","36","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-07,"MALE","23","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-07,"MALE","55","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-25,"MALE","30","WHITE","MANHATTAN","CRIMINAL POSSESSION OF MARIHUANA","Y","Y","N"
2017-03-25,"MALE","27","BLACK","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-25,"FEMALE","23","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-25,"FEMALE","22","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-27,"FEMALE","18","BLACK","MANHATTAN","GRAND LARCENY","N","N","N"
2017-04-01,"MALE","33","WHITE","MANHATTAN","CPW","Y","N","N"
2017-01-13,"MALE","25","WHITE HISPANIC","MANHATTAN","MENACING","Y","N","N"
2017-04-30,"MALE","29","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-05-02,"MALE","20","BLACK","MANHATTAN","CPW","Y","N","N"
2017-05-02,"MALE","32","BLACK","MANHATTAN","CPW","Y","N","N"
2017-05-04,"MALE","29","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-05-09,"MALE","(null)","BLACK","MANHATTAN","MENACING","N","N","N"
2017-05-09,"MALE","30","WHITE","MANHATTAN","PETIT LARCENY","N","N","N"
2017-05-08,"MALE","19","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-05-15,"MALE","44","BLACK","MANHATTAN","ASSAULT","N","N","N"
